2.78,412,354,7054,1170,73,1,50,1
2.87,401,363,8382,818,89,6,50,1
3.06,492,369,9877,1060,82,4,50,1
2.56,473,488,8279,604,112,9,50,1
1.92,410,433,10515,1317,110,4,50,1
3.03,376,404,10936,790,98,3,50,1
2.78,530,508,12088,2962,173,6,50,1
6.27,530,538,15757,1759,177,7,50,1
1.67,413,410,9166,2265,161,4,50,1
2.44,396,423,10232,1044,120,5,50,1
1.46,308,323,7137,241,53,2,50,1
2.46,464,376,5845,1093,114,2,50,1
2.23,411,408,9370,1044,125,8,50,1
2.76,417,413,11891,2051,117,2,50,1
2.7,394,369,9368,717,54,2,50,1
1.76,388,355,8190,673,80,3,50,1
2.54,417,229,5777,654,27,0,50,1
1.74,386,364,7453,572,94,3,50,1
2.39,398,442,15261,716,89,4,50,1
3.38,394,417,12371,899,127,5,50,1
4.68,551,581,17951,2444,203,10,50,1
2.44,454,483,10808,1652,143,6,50,1
3.46,536,602,16293,2049,200,9,50,1
2.85,426,459,13540,1469,157,5,50,1
1.97,365,381,7786,816,111,3,50,1
2.65,471,524,12160,1733,197,6,50,1
2.34,414,430,12769,1469,150,9,50,1
2.76,524,538,13095,2269,191,12,50,1
2.67,475,449,10854,1609,137,5,50,1
2.03,394,440,9236,961,134,3,50,1
3.62,444,433,12456,1774,154,5,50,1
2.25,391,425,10761,651,116,5,50,1
4.15,580,564,13144,2720,212,4,50,1
2.34,468,526,12000,1812,161,9,13,1
2.26,427,431,9477,1491,145,4,50,1
2.77,490,490,10594,2093,184,8,50,1
2.97,444,470,12088,1433,155,3,50,1
2.83,429,439,10545,1222,112,4,50,1
2.49,400,432,12669,1487,99,3,50,1
2.21,414,453,12235,974,135,3,50,1
4.3,547,531,18590,2396,138,12,50,1
4.57,605,643,24126,2686,204,7,50,1
3.3,401,432,8037,221,109,5,50,1
2.37,472,489,11964,1607,139,5,50,1
2.55,483,534,13915,1542,183,3,50,1
2.41,433,485,12212,1759,101,3,34,1
1.87,438,460,10582,1659,159,5,50,1
2.9,485,518,14953,1453,138,1,50,1
2.97,455,482,15875,1619,148,9,50,1
2.76,489,513,14092,1592,168,4,50,1
2.76,469,497,14296,1614,148,5,50,1
2.55,398,424,11057,1515,129,4,50,1
2.2,411,432,11590,1316,164,7,50,1
2.09,64,73,1926,72,14,0,50,1
2.18,504,507,12008,1517,200,7,50,1
2.63,425,430,12053,1263,103,5,50,1
3.1,440,461,11532,1375,132,7,50,1
